SITE,A0 OM 0-3,A0 OM 3-6,A0 OM 6-9,A0 OM 9-12,A0 OM 12-15,A0 Mineral,AE OM 0-3,AE OM 3-6,AE Mineral,A10 Mix 0-3,A10 Mix 3-6,A10 Mineral,A20 Mix 0-3,A20 Mineral,A30 OM 0-3,A30 Mix 3-6,A30 Mineral,B0 OM 0-3,B0 OM 3-6,B0 OM 6-9,B0 OM 9-12,B0 Mineral,BE OM 0-3,BE OM 3-6,BE OM 6-9,BE Mineral,B10 OM 0-3,B10 OM 3-6,B10 OM 6-9,B10 OM 9-12,B10 OM 12-15,B10 OM 15-18,B10 Mineral,B20 Mix 0-3,B20 Mineral,B30 Mix 0-3,B30 Mix 3-6,B30 Mineral,C0 OM 0-3,C0 OM 3-6,C0 Mineral,CE OM 0-3,CE Mineral,C10 OM 0-3,C10 Mineral,C20 OM 0-3,C20 Mineral,C30 OM 0-3,C30 Mineral,D0 OM 0-3,D0 OM 3-6,D0 OM 6-9,D0 Mineral,DE OM 0-3,DE OM 3-6,DE OM 6-9,DE Mineral,D10 Mix 0-3,D10 Mix 3-6,D10 Mix 6-9,D10 Mix 9-12,D10 Mineral,D20 Mix 0-3,D20 Mineral,D30 Mix 0-3,D30 Mineral,E0 OM 0-3,E0 OM 3-6,E0 Mix 6-9,E0 Mineral,E10 OM 0-3,E10 Mineral,E20 OM 0-3,E20 OM 3-6,E20 OM 6-9,E20 Mix 9-12,E20 Mineral,E30 OM 0-3,E30 OM 3-6,E30 OM 6-9,E30 OM 9-12,E30 Mineral,F0 OM 0-3,F0 OM 3-6,F0 Mineral,F10 OM 0-3,F10 OM 3-6,F10 OM 6-9,F10 Mineral,F20 OM 0-3,F20 OM 3-6,F20 OM 6-9,F20 Mineral,F30 OM 0-3,F30 OM 3-6,F30 OM 6-9,F30 OM 9-12,F30 Mineral,G0 OM 0-3,G0 Mix 3-6,G0 Mix 6-9,G0 Mix 9-12,G0 Mix 12-15,G0 Mineral,G10 Mix 0-3,G10 Mix 3-6,G10 Mix 6-9,G10 Mix 9-12,G10 Mineral,G20 OM 0-3,G20 Mix 3-6,G20 Mineral,G30 OM 0-3,G30 Mix 3-6,G30 OM 6-9,G30 OM 9-12,G30 Mineral,H0 OM 0-3,H0 OM 3-6,H0 Mineral,H10 OM 0-3,H10 Mineral,H20 OM 0-3,H20 Mix 3-6,H20 Mix 6-9,H20 Mix 9-12,H20 Mineral,H30 OM 0-3,H30 OM 3-6,H30 OM 6-9,H30 OM 9-12,H30 Mineral,CC1 Mix 0-3,CC1 Mix 3-6,CC1 Mineral,CC2 OM 0-3,CC2 OM-3-6,CC2 Mineral,CC3 OM 0-3,CC3 Mix 3-6,CC3 Mix 6-9,CC3 Mineral,CC4 OM 0-3,CC4 OM 3-6,CC4 Mineral,CON1 OM 0-3,CON1 OM 3-6,CON1 OM 6-9,CON1 Mineral,CON2 OM 0-3,CON2 OM 3-6,CON2 OM 6-9,CON2 Mineral,CON3 Mix 0-3,CON3 Mix 3-6,CON3 Mineral,CON4 OM 0-3,CON4 OM 3-6,CON4 OM 6-9,CON4 Mineral
AL - many long setae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
AJ,,,1,,,,4,2,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,1,,,5,,,,,,
AV3 - Opidae,,2,1,,,6,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,2,1,,1,5,1,,,,5,4,4,,,,,,5,1,,,2,,,,,,19,,,,,,,,,1,,,
AX1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ - small w setae,,1,1,,,2,,,,,,,2,,,,3,,,,1,,,10,2,6,,,,,,,,,1,3,,1,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,9,1,,1,,1,,1,3,,1,,,13,,,,,,2,,,2,13,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,3,,,
11B,8,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
12b - Peloppidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2H,,,,7,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5E/BF3,13,1,,,1,1,9,3,,29,,,14,,7,,,15,2,3,1,,2,,,,,1,,,,3,,91,6,29,6,4,4,,,,,57,,,,,,4,1,,,5,4,1,,,,1,1,1,10,1,25,,,,,,20,,14,,,,,,,,,1,,,,4,,,,,,,,45,5,,,,60,10,1,2,6,1,13,,1,7,,3,2,1,33,8,,,,1,,,23,,1,2,,2,,,,,,,2,1,,22,,,,1,,,,4,1,,,,,1,,2,,,,,4,,,
B5a - Dentachiptera sp.,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB4 - Peltenuiala sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF4,3,26,3,3,9,11,7,4,1,1,,,2,1,,,,3,5,1,1,,4,9,14,6,4,4,,,2,3,,,1,1,1,4,1,,1,,,3,,1,,,,5,6,6,,,,2,1,,3,4,1,,,,,1,,13,,,,,,,2,,,,,,,,1,5,,9,,2,,,,,,,2,,,,,,,3,,1,3,6,1,3,,,3,2,,,1,,3,,,,,,8,8,27,4,2,113,68,47,249,25,1,1,3,4,,5,1,,4,4,9,,,10,23,15,3,7,8,18,3,6,4,4,28,6,5,3
BG3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,7,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,
BX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,2,,
DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,,
M5 -  Ametroproctus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3 - Carabodes sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 - Damaeidae,1,9,4,,3,1,,2,,,,,,1,2,1,,,,,,,1,,2,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,1,1,,,,,,,,,,,,1,,,,1,,2,,1,2,,,,,,,4,2,,3,,,1,,,,,4,1,,,,1,,,,,,2,3,2,,,,,,,,2,,,,,,,,5,1,8,2,,,,,,,2,1,,,,,,,,,1,,,,,,,2,,2,,,,,,,,
Unidentified Immatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 2- Nanorchestes,1,7,,,,,5,10,4,29,6,,18,7,20,3,,17,4,7,6,3,1,33,4,2,6,3,,,1,1,3,33,3,1,5,,14,14,1,18,,46,,1,2,1,,3,6,2,,6,17,7,,,,1,4,,24,10,6,,9,5,4,1,24,2,30,10,38,1,2,65,1,41,10,2,10,4,1,10,56,16,2,58,11,7,1,22,10,3,,,47,33,13,2,7,3,5,16,9,1,1,19,,2,8,11,3,,,36,31,1,5,4,24,38,9,12,3,16,,3,,,5,61,2,2,3,,9,3,,,12,78,,15,90,10,,3,3,8,2,12,17,2,11,12,,
"Pro 3-white, med, pentagonal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 4-Rhagidiidae-AB1,,,,,,,,1,,,,,,,3,2,,,,,,,,,,,,,,,,,,1,,,1,1,,,,1,,2,,,,,,,1,,,,,,,,,,,, ,1,,,,1,,,1,,,,2,1,2,2,4,5,3,,,1,,2,,,,1,,,,,2,2,,,,1,1,,,,,,,1,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,,,,,,1,,1,3,4,
Pro 5- 4S,31,10,23,191,141,82,23,77,96,55,9,18,62,163,21,18,4,33,18,8,5,7,6,59,86,56,47,102,46,44,40,44,43,26,2,26,78,28,18,422,304,98,84,529,251,5,115,39,9,5,109,185,51,12,62,130,19,722,341,221,10,86,13,9,18,84,2,146,14,10,33,18,76,85,266,230,23,90,57,105,49,9,19,101,43,47,83,21,6,74,141,28,3,70,232,89,99,55,34,15,28,14,28,9,11,132,41,21,44,55,8,19,5,17,111,13,39,14,69,7,94,16,89,47,28,21,11,5,5,67,81,70,158,294,49,49,26,2,5,2,5,11,363,158,28,31,54,11,1,15,16,39,11,40,17,3,27,13,3,
Pro 6-w/ club foot,3,1,3,8,3,5,,1,5,,3,,,2,3,,,,,,,,2,2,3,12,3,2,2,,,3,5,1,1,,1,,,1,8,,1,10,8,,2,,4,2,2,9,,,,15,13,7,,1,1,2,1,1,,1,,7,1,4,,5,2,3,1,3,9,1,3,7,,13,2,3,,,6,,3,2,1,1,1,1,,2,,,,,1,11,3,1,,8,11,3,10,1,,2,,,1,2,13,1,6,3,4,2,2,1,5,,5,,2,36,74,17,1,,7,3,22,4,,,,,2,,2,2,5,14,2,,5,,3,9,1,3,1,6,1,
"Pro 7-small, elong., pentagon",,4,3,1,4,1,2,3,,17,9,1,1,2,8,1,2,1,6,3,3,9,,3,3,2,,,,1,1,1,4,11,1,1,1,,,2,3,5,4,1,2,3,3,11,,,25,2,1,,2,4,,5,,2,2,1,32,1,,,1,3,,4,2,2,6,12,12,6,,4,6,2,12,5,3,7,20,2,1,2,8,13,4,,5,,6,4,3,2,2,2,1,2,,,9,8,2,4,13,,,6,2,9,9,1,5,1,2,2,2,,4,4,2,2,6,,,,1,,,9,3,,,,5,6,,1,,3,1,5,12,1,1,2,,2,1,3,2,2,1,2,6,
"Pro 8- lg. ,yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 9-med w/ long legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 10-lg orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,
Pro 11-red eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 12-green tinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 13-hairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pro 14-white, cone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 15- lg blob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 16- elong club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 17- fuzzy pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 18- elbowed palps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 19- AK or R1 - astigmata,1,1,5,37,24,10,,35,3,22,5,1,8,29,24,14,2,3,23,6,3,8,,,,2,15,71,22,21,10,10,14,5,,1,2,1,1,,,,1,,,3,1,4,,,4,3,,,34,18,1,2,17,4,2,,3,1,9,1,,,,,10,2,,1,1,5,,5,,1,3,,1,2,5,13,4,5,,2,10,6,1,8,5,2,,2,1,,1,2,3,,28,56,17,3,1,2,5,1,2,1,6,1,1,5,,,,1,67,28,47,13,10,2,7,18,53,19,137,231,36,20,24,35,1,7,11,73,5,6,5,17,,1,2,5,14,7,10,19,10,4,4,3,,2
Immatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH1,,,,,,,,,2,,,,,12,1,4,,,7,,6,3,,,,,,,,,1,,,,,,,,,,,,,,,2,51,,5,,,,,,,1,,,,,,,2,34,,,,,,,,1,,,,,,,,,,,,4,,,,1,,,2,,,2,8,2,4,,,,,,,,,,,,,,,,,,,,,,2,,5,4,,1,5,4,8,,,2,,1,3,39,4,1,2,1,2,2,4,53,,,,,,,,,,,,,1,,,,,
AI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,3,,,,,1,,2,1,2,,,,,2,1,,,,,,,,,,2,,1,,,,,,,1,,1,,,,,1,,,,,,,,,5,,,,,1,,,,,,,,5,,3,,3,,,1,,4,9,,,,,,,1,,,,,,,,,,,2,3,,,,,,,,,1,,,2,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
DW,3,,,,,,6,,,7,,1,61,28,7,1,,,,,,1,,,,,5,1,,,,,,,,1,,1,,3,,,,15,2,2,,4,,6,,,,,,1,,,,,,,27,1,,,,,,1,,,,1,,,,1,,1,,2,,,,,1,,,,5,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,11,,,3,,,,,,,1,,,5,,,,,,,1,,,,,,,
Bdellidae - EW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,,,,,,,,2,1,13,4,1,3,,,,,,,1,1,1,,2,,5,,1,1,,,1,,,1,,,,,4,,2,,2,,,,,,,2,9,,,,,,,,1,,,2,6,,,,4,,,,,3,,4,,,,,,,1,3,2,,2,,,,1,3,,,,,,1,1,,,,2,,,2,2,1,4,,5,1,2,,2,3,,1,,2,1,1,2,6,2,4,1,1,5,3,,,1,,10,,8,,,2,5,,,7,3,,1,5,1,1,,3,,1,1,,,1,5,2,1
Eupopidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso1-lg,round,curled legs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso 2-lg,disks-Laelaptidae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso 3-w/ OM,,,,,,,,,,,,,,,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,,,,,,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
Meso 4-medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes 5-sclerotized w/rostrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,
"Meso 6-little,white,stick legs ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,3,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,6,9,1,,,,
"Meso 7-lg, 2 dorsal shields",2,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,4,2,4,,,,,,,,,1,,1,,,,2,,2,1,2,2,,3,1,,3,1,4,,,1,2,4,1,4,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,2,,,3,,,,1,1,,1,,,,,1,,,,,,2,,,,,,1,,2,,4,3,,6,10,2,
Meso 8-holodorsal-1M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso 9 - 5A,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Meso 10-Zercon,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
"Meso 11- lg, 2 dorsal shields",,,,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,1,,,,,
Meso 12- 2dorsal incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
