DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,comments,Oribatids,Mesostig,Prostig,TOTAL,%Oribatids,%Mesostig,%Prostig
,,,,,,,,,,,,,,,,,,,
03-Nov-06,,16C,65,H,0,OM,0-3,42.99,59.31,49.37,6.38,,38,6,60,104,36.54,5.77,57.69
03-Nov-06,,16D,4,H,0,OM,3-6,46.29,64.17,55.74,9.45,,32,1,115,148,21.62,0.68,77.7
03-Nov-06,,17B,3A,H,0,min,,45.12,76.79,68.85,23.73,,23,0,14,37,62.16,0,37.84
03-Nov-06,,18A,1,H,10,OM,0-3,45.98,68.42,59.35,13.37,on mix,97,11,112,220,44.09,5,50.91
03-Nov-06,,13D,53,H,10,min,,45.03,108.13,100.06,55.03,,11,2,29,42,26.19,4.76,69.05
03-Nov-06,,14D,56,H,20,OM,0-3,45.61,53.01,49.9,4.29,,106,11,192,309,34.3,3.56,62.14
03-Nov-06,,13A,A3,H,20,mix,3-6,46.06,54.77,51.18,5.12,,68,6,121,195,34.87,3.08,62.05
03-Nov-06,,13B,56A,H,20,mix,6-9,44.02,58.72,53.31,9.29,,162,7,100,269,60.22,2.6,37.17
03-Nov-06,,13C,46,H,20,mix,9-12,45.22,54.06,51.32,6.1,,55,11,55,121,45.45,9.09,45.45
03-Nov-06,,14C,30,H,20,min,,78.44,124.8,119.22,40.78,,50,2,44,96,52.08,2.08,45.83
03-Nov-06,,17C,2,H,30,OM,0-3,43.88,74.38,62.65,18.77,,136,4,29,169,80.47,2.37,17.16
03-Nov-06,,17D,72,H,30,OM,3-6,46.52,56.09,51.89,5.37,,131,10,17,158,82.91,6.33,10.76
03-Nov-06,,16A,5,H,30,OM,6-9,44.35,56.75,51.67,7.32,,266,8,126,400,66.5,2,31.5
03-Nov-06,,16B,3B,H,30,OM,9-12,43.57,53.52,49.65,6.08,,488,5,211,704,69.32,0.71,29.97
03-Nov-06,,15A,2,H,30,min+,,42.9,67.16,59.8,16.9,,136,5,109,250,54.4,2,43.6
,,,,,,,,,,,,,,,,,,,
30-Oct-06,03-Nov-06,2B,40,CC,1,mix,0-3,44.1,63.78,53,8.9,,39,8,316,363,10.74,2.2,87.05
30-Oct-06,03-Nov-06,2C,26,CC,1,mix,3-6,44.08,82.89,61.06,16.98,,48,8,644,700,6.86,1.14,92
03-Nov-06,,11D,55,CC,1,min,,42.98,89.17,77.77,34.79,,37,7,102,146,25.34,4.79,69.86
30-Oct-06,03-Nov-06,1A,58,CC,2,OM,0-3,45.75,65.61,52.71,6.96,on min,61,8,86,155,39.35,5.16,55.48
30-Oct-06,03-Nov-06,1B,7,CC,2,OM,3-6,45.04,56.62,50.83,5.79,,14,4,77,95,14.74,4.21,81.05
30-Oct-06,03-Nov-06,1C,10,CC,2,min,,44.8,90.48,75.77,30.97,,19,1,43,63,30.16,1.59,68.25
03-Nov-06,,18B,23B,CC,3,OM,0-3,45.55,73.55,60.06,14.51,on mix,39,2,24,65,60,3.08,36.92
03-Nov-06,,18D,1B,CC,3,mix,3-6,44.45,77.49,65.92,21.47,,23,3,25,51,45.1,5.88,49.02
03-Nov-06,,17A,10B,CC,3,mix,6-9,45.09,67.66,60.77,15.68,,27,0,20,47,57.45,0,42.55
