Sam,I O OM 0-3,I O OM 3-6,I O OM 6-9,I O OM 9-12,E I Min,I 30 OM 0-3,I 30 OM 3-6,I 30 OM 6-8,J 30 Min,I E OM 0-3,I E OM 3-6,N E Min 0-3,N O OM 0-3,N O OM 3-6,N O OM 6-9,N 30 OM 0-3,N 30 OM 3-6,N 30 Min,J 0 OM 0-3,J 0 OM 3-6,N E OM 3-6,N E OM 3-6,J 0 Min,S 0 Min,L E Min,M 0 OM 0-3,M 0 OM 3-6,M 0 Min,S E OM 0-3,S E OM 3-6,S E OM 6-9,S E OM 9-12,I 30 Min,N 0 Min,M E Min,M E OM 0-3,M E OM 3-6,S 0 OM 0-3,S O OM 3-6,S O OM 6-9,S 0 OM 9-12,S 0 OM 12-15,S 0 OM 15-18,B E OM 0-3,B E OM 3-6,B E OM 6-9,B E OM 9-12,B E OM 12-15,B E OM 15-18,B E OM 18-21,L E OM 0-3,L E OM 3-6,B 30 Min,L 30 OM 0-3,L 30 OM 3-6,L 30 OM 6-9,T E Min 3,S 30 OM 0-3,S 30 OM 3-6,S 30 OM 6-9,S 30 OM 9-12,S E Min 3,T 30 Min 3,M 30 OM 0-3,M 30 OM 3-6,M 30 OM 6-9,C E OM 0-3,C E OM 3-6,C E OM 6-9,D 0 Min,E 0 OM 0-3,E 0 OM 3-6,E 0 OM 6-9,E 0 OM 9-12,C 0 OM 0-3,C 0 OM 3-6,C 0 OM 6-9,E E OM 0-3,E E OM 3-6,E E OM 6-9,E E Min,E 30 Min,TU3 Plot3 Min,TU3 Plot3 OM 0-3,TU3 Plot3 OM 3-6,TU3 Plot3 OM 6-9,TU3 Plot3 OM 9-12,TU3 Plot3 OM 12-15,TU3 Plot3 OM 15-18,D E min,D 0 OM 0-3,D 0 OM 3-6,D 0 OM 6-9 ,D 0 OM 9-12,TU3 Plot2 Min,E 30 OM 0-3,E 30 OM 3-6,E 30 OM 6-9,E 30 OM 9-12,D 30 Min,D E OM 0-3,D E OM 3-6,D E OM 6-9,TU3-4 OM 0-3,TU3-4 OM 3-6,TU3-4 OM 6-9,TU3-4 OM 9-12,C E Min,C 30 OM 0-3,C 30 OM 3-6,C 30 OM 6-9,C 30 OM 9-12,C 30 OM 12-15,C 30 Min,E 0 Min,D 30 OM 0-3,D 30 OM 3-6,D 30 OM 6-9,D 30 OM 9-12,C 0 Min,T 30 OM 0-3,T 30 OM 3-6,T 30 OM 6-9,T 0 OM 0-3,T 0 OM 3-6,T 0 OM 6-9,T 0 Min,J E OM 0-3,J E OM 3-6,J E OM 6-9,L 0 OM 0-3,L 0 OM 3-6,T E OM 0-3,T E OM 3-6,T E OM 6-9,S 30 Min,L 30 Min,R 0 OM 0-3,R 0 OM 3-6,R 0 OM 6-9,R 0 OM 9-12,R E OM 0-3,R E OM 3-6,R E OM 6-9,R E OM 9-12,P 0 OM 0-3,P 0 OM 3-6,P 0 OM 6-9,P E Min,P E OM 0-3,P E OM 3-6,P E OM 6-9,P E OM 9-12,R 30 OM 0-3,R 30 OM 3-6,R 30 OM 6-9,R 30 OM 9-12,R 30 OM 12-15,R 30 OM 15-18,A E OM 0-3,A E OM 3-6,A E OM 6-9,A E OM 9-12,P 30 OM 0-3,P 30 OM 3-6,P 30 OM 6-9,P 30 OM 9-12,P 30 OM 12-15,P 30 OM 15-18,B 30 OM 0-3,B 30 OM 3-6,B 30 OM 6-9,B 30 OM 9-12,G 0 OM 0-3,G 0 OM 3-6,G 0 OM 6-9,G 0 OM 9-12,G E Min,I 0 Min,G 30 Min,B E Min,M 30 Min,B 0 Min,F E OM 0-3,F E OM 3-6,F E OM 6-9,F E OM 9-12,F E OM 12-15,B 0 OM 0-3,B 0 OM 3-6,B 0 OM 6-9,B 0 OM 9-12,B 0 OM 12-15,B 0 OM 15-18,B 0 OM 18-21,A 0 OM 0-3,A 0 OM 3-6,A 0 OM 6-9,A 0 OM 9-12,F 30 OM 0-3,F 30 OM 3-6,F 30 OM 6-9,F 30 OM 9-12,R E Min,L 0 Min,A 30 Min,R 30 Min,F 0 Min,TU2-1 OM 0-3,TU2-1 OM 3-6,TU2-1 OM 6-9,TU2-1 OM 9-12,TU2-1 OM 12-15,TU2-2 Min,TU2-1 Min,TU2-2 OM 0-3,TU2-2 OM 3-6,TU2-2 OM 6-9,TU2-2 OM 9-12,TU2-2 OM 12-15,TU2-2 OM 15-18,A E Min,G 30 OM 0-3,G 30 OM 3-6,G 30 OM 6-9,G 30 OM 9-12,A 0 Min,TU2-3 OM 0-3,TU2-3 OM 3-6,TU2-3 OM 6-9,TU2-3 OM 9-12,A 30 OM 0-3,A 30 OM 3-6,A 30 OM 6-9,A 30 OM 9-12,A 30 OM 12-15,A 30 OM 15-18,TU2-4 Min,TU2-4 OM 0-3,TU2-4 OM 3-6,TU2-4 OM 6-9,TU2-4 OM 9-12,TU2-4 OM 12-15,TU2-3 Min,P 0 Min,G 0 Min,F E Min,J 30 OM 0-3,J 30 OM 3-6,J 30 OM 6-9,F 0 OM 0-3,F 0 OM 3-6,F 0 OM 6-9,F 0 OM 9-12,F 0 OM 12-15
Pro 2-blob,12,31,10,3,5,33,5,,,30,18,2,65,20,8,35,8,8,97,32,2,4,,,,21,6,3,31,13,3,6,2,,,46,9,21,5,2,1,,1,45,9,3,2,,4,,2,1,,13,17,3,3,4,9,,6,,,5,2,1,23,15,3,,37,15,4,4,11,2,5,13,7,5,,,,5,4,4,,,,,34,3,1,2,,6,14,3,4,,2,2,1,2,2,,2,,15,4,3,,1,,1,5,6,4,2,2,10,8,3,4,12,11,,2,1,3,,6,2,,,,,21,43,12,4,9,96,10,4,7,33,2,3,10,40,9,6,64,24,11,7,9,9,11,41,13,5,5,17,59,3,8,,42,32,9,3,45,9,8,1,1,1,1,,,,21,19,3,2,4,42,4,3,3,1,7,,9,40,6,3,25,22,5,3,1,,,1,,12,11,3,2,3,1,,1,23,17,8,7,3,,12,36,2,2,1,26,4,7,9,31,14,2,4,4,3,,4,17,1,3,4,3,,1,,35,10,3,,15,3,8,9
"Pro 3-white, med, pentagonal",6,1,1,0,2,10,1,4,,7,8,,8,2,,1,1,,5,7,1,2,,,,1,2,1,6,,5,1,1,,,,2,5,5,2,,,,4,1,3,,1,,,,1,,,,,,2,2,1,4,,,,,,1,1,1,,5,,,,4,1,1,1,,1,,,,,1,,,,,,,,,,,,2,2,1,,,,,,,,1,1,1,,,,1,1,1,10,9,9,8,1,12,6,,4,,,,,,1,1,1,,,,,,1,7,1,6,2,5,1,2,14,7,2,2,1,1,,3,6,,6,,3,1,,,,,2,,,,,,,,,,,,,,,1,1,1,2,,4,,5,,2,,,,1,,,,6,6,,1,5,2,,,1,,1,,4,,,,,,,,,,,,,,,1,,,,,1,,,,5,2,,,1,,,2,2,2,1,,,3,1,,2,2,,3,17,3,3,2
Pro 4-big and elongate,3,4,1,0,,5,0,,,1,1,,,,1,,,,3,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,2,,,1,3,,,,,,3,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,2,2,,,1,,1,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,6,2,1,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1,1,,,,,,1,2,,3,,,,,2,2,1,,1,1,1,
Pro 5-small w thin legs,4,,0,0,,0,2,,,1,,,,,,,,,,,,,,,,1,,,,,,4,4,,1,,,3,2,1,,,1,3,1,,2,,,,,1,,,,,,1,,,4,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,1,1,1,,2,2,1,1,,1,,1,,1,,,,2,,,,,,,2,,,,1,,,1,,,,1,,,1,,,,,,,7,,,2,,,,,,1,,,,1,,,,1,,,,1,1,1,1,1,,,1,,,,,,1,,1,,,,1,,,,,2,,,2,1,,,,,1,,,2,2,,,1,2,1,,,,,,,,,,,,,,,,2,3,,,,,,,,,,1,,,,,,1,3,,,,,,,1,,,,,,,,,2,1,,
Pro 6-w/ club foot,1,3,8,7,5,4,14,6,2,12,17,25,2,11,9,2,16,5,3,9,2,2,,5,7,9,19,1,6,,5,,1,1,,1,1,2,12,22,8,,3,,12,7,7,5,,,1,3,1,9,4,2,4,,4,5,20,3,1,1,4,1,1,7,8,,10,8,7,7,,6,18,1,,1,2,,,,18,3,3,5,,4,8,2,2,2,1,,9,7,5,5,1,4,7,3,1,1,3,4,3,2,5,4,6,3,6,,3,7,1,2,3,5,,4,6,9,2,,1,8,4,8,8,,,2,2,2,16,21,8,10,17,7,11,4,7,9,2,7,14,4,2,12,13,33,11,9,8,8,5,11,9,6,9,4,4,4,1,8,14,2,1,8,9,17,1,10,7,2,1,6,2,7,11,16,7,9,4,5,2,2,1,1,4,8,24,14,4,8,33,1,6,1,1,,,4,2,14,11,12,9,,3,3,18,39,27,10,16,3,4,8,1,9,2,6,3,6,11,16,9,4,,3,6,10,4,16,8,5,8,5,4,3,,6,23,14,3,11,12,6,5
"Pro 7-small, elongate, pentagon",,2,2,2,2,,,,,3,3,,,,,3,,,,,,,,,2,,,,,2,3,1,2,,1,,,,,,,,1,5,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,4,,,,2,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,6,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,6,6,,,,2,,,,,,,,,,,,,,,,1,2,1,1,2,,,1,,,3,1,1,,,1,,,,,,1,,,1,1,,,,,,,,,,,,,
"Pro 8-lg, yellow",,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Pro 9-med w/ long legs,,,14,5,1,3,5,2,1,2,1,,1,,6,3,4,,2,2,,,,,,,3,,5,4,3,1,,,2,3,,,,1,,,1,1,1,1,,,,1,,,,1,,1,,1,,,1,,,,,,2,3,,1,,1,,1,,,1,,,,,,,,1,,,,,,,1,,,,,1,1,2,,1,,,1,1,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,1,1,,,,2,,,,,2,2,,3,4,1,,,,,4,,2,1,,,1,,,,1,,,,,2,,,,,,,,,1,1,2,1,,,,,1,,1,1,4,,,,2,,,1,,,,1,3,1,,,,,,,,,,1,,,,,,,1,2,3,,3,1,4,,,,2,1,2,2,2,,,1,,1,,1,,1,3,,,,
Pro 10-lg orange,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 11-red eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 12-green tinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 13-hairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pro 14-white, cone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 15- lg blob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,
Pro 16- elong club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 17- fuzzy pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Pro 18- elbowed palps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarsonimidae,14,2,0,0,,1,2,,,8,3,1,,,,,1,,4,,2,1,,,,,1,,4,1,,,,,,3,5,5,,,,,,2,2,,,,,,,1,,6,9,9,,1,,,,,,,,1,,,,,8,,,,3,,1,6,2,,,1,,2,,,1,,,,,1,,,,3,7,3,,,,,,3,1,1,,,2,,,2,,,1,1,3,3,4,,1,,,2,,,,,,,1,,2,,,,,3,3,,,3,,,1,,1,,,1,,1,,,,,,,,,,,,1,,51,2,,2,3,5,,,2,,1,,,,,,,,,1,1,,,5,,,,,,1,,,,,,1,,,,,,,,,2,1,,,,,7,,,1,1,2,,1,2,,,,2,,,1,4,,1,1,1,4,,,1,1,,,,,1,,5,2,3,,,1,,
"Meso 1-large, round, curled legs",1,,0,0,,,,,,,1,,,,1,1,,,,,2,,,,,,1,,2,1,,1,,,,2,,1,,,,,,1,,,,,,,,1,,1,,,,2,,,,,,,,,2,,,,1,,1,,2,,,1,,,,,,,,1,,,,,,,,,,,,,1,,1,1,1,,2,,,,,,,,,,1,3,,,1,,,,,3,,,,3,1,1,,,1,,,,,1,,,2,3,,1,,,1,,,1,,1,1,1,,,,,,,1,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,,,2,,,,,,,2,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,
"Meso 2-lg, disks",2,,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
Meso 3-w/ OM,6,2,0,2,1,2,,,,,8,,,1,,,1,,,1,,2,,2,,2,1,,1,,,,,,,2,,,6,,,,,4,7,1,,1,1,,2,,,1,4,,,2,2,1,,,1,,,2,1,,,,9,1,5,3,1,,,3,1,,,,,1,5,,,1,1,,,,,,,1,,1,1,,1,2,,8,6,3,1,,3,,,,,1,,,,,,,4,,1,3,1,,1,3,1,4,3,1,,,,,,,,,,,10,1,,3,4,,,,2,,,3,,1,1,,2,,,,,,2,5,,,1,3,1,,1,7,3,,2,,8,,,,,3,,5,1,,7,1,1,,2,,,2,3,,2,3,1,,,,,,,,8,3,7,3,3,,,1,,,,,,,6,4,,,,1,1,2,1,9,4,4,3,3,6,,6,,,2,,,,,1,1,,1,3,2,,1,
Meso 4-medium ,5,2,5,1,3,12,23,5,4,26,22,5,20,7,4,9,,1,19,5,3,13,,,,13,7,3,31,3,14,2,,2,4,8,1,18,39,11,3,1,,19,3,,1,,2,,5,1,,10,4,4,,11,,3,13,,5,7,,,10,12,1,1,14,3,14,4,7,3,1,12,,,,,,2,4,4,2,2,1,1,3,3,2,4,,19,10,10,6,,5,11,6,7,3,2,1,,12,7,3,,,1,,1,8,3,3,2,9,8,1,6,7,2,2,9,,3,10,10,10,,,1,,11,10,5,8,7,30,10,9,13,17,11,,12,3,1,1,8,3,1,1,1,,1,6,3,5,2,8,9,1,1,1,6,9,7,14,6,3,,,2,2,,,1,,6,10,6,2,2,1,1,,,,,1,9,11,2,15,8,18,1,2,1,2,3,,2,6,5,5,,3,,1,4,,,2,,,,10,5,1,,1,11,5,6,13,9,3,,,,1,2,1,5,1,,1,,5,,3,26,8,10,3,6,8,1,1
Meso 5-sclerotized w/ rostrum,6,1,0,0,,2,,,,8,,,2,1,,3,,,1,,5,1,,,,9,,1,4,1,,1,,,,11,1,5,2,1,,1,,11,,,,,3,2,4,,,3,5,2,,4,,,,,,8,2,1,,,,,7,1,,1,1,,,,,,,,,2,,1,,,,,,1,,,,4,,,,,,,,2,1,1,2,,,,,1,,1,,5,1,,,,9,1,1,4,2,1,,2,1,5,3,3,1,,,,,2,2,2,1,1,3,7,,6,,,,7,,1,,4,,,,,,,2,,,,1,1,1,,,8,1,,4,,,,,,,,,,,2,2,,,,4,,,,,,,4,2,1,,4,,,,1,,,,,2,,,,,,,2,1,,,,,,6,,,,,2,,,,2,,,,,,,2,1,1,1,,,,,,3,,,4,3,1,1,
"Meso 6-little, white, stick legs ",9,,1,1,,7,7,,,6,5,2,4,1,,2,1,,7,6,2,4,2,1,,5,3,,7,,2,1,1,,4,6,3,6,3,2,,,2,8,,,,,,,2,,,2,2,,,5,1,4,,1,4,3,,3,3,,,,6,,,1,,,1,4,2,1,,,,,,1,1,1,,,1,,,,,2,,4,,,,4,1,,,1,,,,,,,,1,,1,,1,2,2,3,1,,1,,,,1,,,,1,,,,,,,2,3,3,,,,,3,4,,,4,1,,,2,,,,,,,,2,1,1,1,2,,,,1,,,,1,1,,1,,,,,,,1,1,,,,1,,,,,,,,5,1,,3,8,,,,,,,1,,1,,,,,,1,,,,,,1,1,,,,,,2,2,7,2,,,,,,,,,,,,,1,,,3,1,4,2,,,,
"Meso 7-lg, 2 dorsal shields",,1,0,0,,,,,,2,1,,,3,1,2,,,,,1,,,,,2,,,,,2,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
Meso 8-holodorsal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,,,,,,,,,,,,,,,,,,,10,1,,2,,,,,,,,,,,,,,,,3,,,,,,,1,,,,1,,,,,,,,,1,,3,,,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso 9-2dorsal, w/tubercle ",,,,,,1,,,,1,1,,,,,,,,1,,,,,,,1,,,1,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,1,,2,4,,,,,,,,,,,,,,,,,,,,,1,2,,,,3,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,,,,1,,1,,,,1,,,1,,,,,,1,1,,,,,
Meso 10-Zercon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso 11- lg, 2 dorsal shields",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,3,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso 12- 2dorsal incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2,,1,,
Meso immatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Oribatids,258,117,96,67,33,302,197,95,30,282,211,43,247,71,21,391,71,26,325,102,213,91,11,32,64,261,54,11,318,109,128,27,56,5,49,322,85,224,79,98,38,8,3,236,108,58,20,28,41,13,340,115,9,177,178,104,15,399,93,34,95,10,7,316,28,40,194,189,21,4,235,40,65,24,91,112,112,159,34,23,3,8,2,177,105,47,24,40,15,6,96,97,34,19,13,275,74,44,51,7,111,69,29,101,127,21,39,13,262,116,57,64,50,11,6,55,75,21,21,6,244,136,48,82,93,28,16,274,78,42,151,62,158,34,28,8,71,287,161,73,61,76,216,84,66,349,209,109,39,146,143,93,46,236,134,186,84,54,54,23,166,68,45,62,126,167,49,37,35,328,93,21,15,167,101,85,10,10,15,5,13,45,11,145,86,69,19,8,194,96,33,16,12,11,27,143,188,50,43,132,110,22,10,13,8,13,6,21,325,107,80,21,12,4,5,101,91,34,49,28,17,9,207,61,4,15,11,121,35,31,93,273,135,41,14,20,28,8,170,197,23,33,27,5,59,25,7,165,81,61,74,277,75,38,18
Prostigs,98,55,41,19,17,63,44,24,15,91,66,35,87,40,26,59,37,19,122,53,10,16,1,8,11,45,37,7,60,21,22,15,16,3,4,63,26,46,24,31,11,0,9,63,31,14,11,9,4,1,11,9,3,35,35,17,14,10,19,7,36,3,2,13,12,3,35,44,17,1,109,30,11,12,21,14,36,39,9,10,2,1,1,8,28,7,5,5,0,4,57,14,8,6,3,15,38,18,14,7,5,6,9,10,7,3,10,10,25,7,12,6,8,5,9,18,21,26,16,12,30,21,3,14,23,20,3,2,3,12,7,17,12,0,0,4,4,29,89,40,19,38,131,21,20,29,48,14,7,20,62,17,11,86,41,54,20,21,18,21,52,25,17,18,27,114,16,15,3,54,52,11,5,57,19,28,2,11,10,4,4,11,3,44,45,32,14,18,67,9,5,7,4,8,6,49,91,25,9,44,66,7,9,4,1,3,2,9,19,28,15,16,12,2,3,11,43,61,40,20,25,6,21,48,4,13,8,43,14,14,24,65,30,8,7,12,15,12,14,41,22,13,17,12,13,8,0,55,39,23,9,49,21,19,21
