DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,,
04-Nov-05,09-Nov-05,15A,30,,,,,45.28,not used,,,,
04-Nov-05,09-Nov-05,15B,65,TU2,3,OM,0-3,43.04,63.74,48.46,5.42,2,
04-Nov-05,09-Nov-05,15C,54,TU2,3,OM,3-6,43.62,69.27,53.89,10.27,,
04-Nov-05,09-Nov-05,15D,15,TU2,3,OM,6-9,45.16,64.23,52.67,7.51,,
04-Nov-05,09-Nov-05,14A,72,TU2,3,Min,,44.44,73.65,57.13,12.69,,
04-Nov-05,09-Nov-05,14B,24,TU2,4,OM,0-3,45.34,60.94,50.28,4.94,2,
04-Nov-05,09-Nov-05,14C,2B,TU2,4,OM,3-6,45.81,65.19,54.69,8.88,,
04-Nov-05,09-Nov-05,14D,7,TU2,4,OM,6-9,43.56,37.47,54.17,10.61,,
04-Nov-05,09-Nov-05,13A,1,TU2,4,Min,,44.67,81.45,67.25,22.58,,
04-Nov-05,09-Nov-05,13B,62,TU3,1,OM,0-3,46.47,70.08,55.93,9.46,1,
04-Nov-05,09-Nov-05,13C,68,TU3,1,OM,3-6,44.14,64.78,50.02,5.88,,
04-Nov-05,09-Nov-05,13D,53,TU3,1,OM,6-9,46.22,71.4,55.42,9.2,,
04-Nov-05,09-Nov-05,12A,35,,,,,44.05,not used,,,,
04-Nov-05,09-Nov-05,12B,28,,,,,44.83,not used,,,,
04-Nov-05,09-Nov-05,12C,56,,,,,44.98,not used,,,,
04-Nov-05,09-Nov-05,12D,60,TU3,1,OM,9-12,44.11,80.91,56.68,12.57,,
04-Nov-05,09-Nov-05,11A,58,TU3,1,Min,,44.12,102.08,86.04,41.92,,
04-Nov-05,09-Nov-05,11B,62,TU3,2,OM,0-3,45.79,60.69,50.36,4.57,1,
04-Nov-05,09-Nov-05,11C,40,TU3,2,OM,3-6,45.01,66.26,51.99,6.98,,
04-Nov-05,09-Nov-05,11D,15,TU3,2,OM,6-9,44.53,79.56,59.66,15.13,,
04-Nov-05,09-Nov-05,10A,157,TU3,2,OM,9-12,46.24,75.39,60.22,13.98,,
04-Nov-05,09-Nov-05,10B,62,TU3,2,OM,12-15,45.75,69.02,57.52,11.77,,
04-Nov-05,09-Nov-05,10C,57,TU3,2,OM,15-18,43.36,69.58,55.87,12.51,,
04-Nov-05,09-Nov-05,10D,22,TU3,2,Min,,45.82,96.49,81.22,35.4,,
04-Nov-05,09-Nov-05,9A,37,TU3,3,OM,0-3,45.08,62.19,53.25,8.17,2,
04-Nov-05,09-Nov-05,9B,107,TU3,3,OM,3-6,44.52,69.94,56.75,12.23,,
04-Nov-05,09-Nov-05,9C,26,TU3,3,OM,6-9,46.57,72.91,60.77,14.2,,
04-Nov-05,09-Nov-05,9D,63,,,,,46.3,not used,,,,
04-Nov-05,09-Nov-05,8A,6,TU3,3,Min,,78.5,118.89,106.62,28.12,,
04-Nov-05,09-Nov-05,8B,A3,TU3,4,OM,0-3,45.95,79.39,52.69,6.74,1,
04-Nov-05,09-Nov-05,8C,27,TU3,4,OM,3-6,44.04,69.5,50.32,6.28,,
04-Nov-05,09-Nov-05,8D,18A,TU3,4,OM,6-9,45.93,87.03,65.15,19.22,,
04-Nov-05,09-Nov-05,7A,3B,TU3,4,OM,9-12,46.06,88.58,58.75,12.69,,
04-Nov-05,09-Nov-05,7B,LO,TU3,4,OM,12-15,45.36,81.52,61.96,16.6,,
04-Nov-05,09-Nov-05,7C,5,TU3,4,OM,15-18,45.09,84.88,53.94,8.85,,
04-Nov-05,09-Nov-05,7D,102,TU3,4,Min,,43.83,121.94,99.57,55.74,,
04-Nov-05,09-Nov-05,6A,5B,M,0,OM,0-3,45.59,68.57,54.29,8.7,2,
04-Nov-05,09-Nov-05,6B,30C,M,0,OM,3-6,46.02,77.63,62.07,16.05,,
04-Nov-05,09-Nov-05,6C,9B,M,0,OM,6-9,43.59,68.04,56.26,12.67,,
04-Nov-05,09-Nov-05,6D,6B,,,,,46.04,not used,,,,
04-Nov-05,09-Nov-05,5A,2,M,0,Min,,46.05,93.21,76.59,30.54,,
04-Nov-05,09-Nov-05,5B,9A,M,E,OM,0-3,42.98,65.88,50.83,7.85,1,
04-Nov-05,09-Nov-05,5C,B1,M,E,OM,3-6,44.39,79.62,61.58,17.19,,
04-Nov-05,09-Nov-05,5D,23,M,E,Min,,45.1,89.61,76.85,31.75,,
04-Nov-05,09-Nov-05,4A,70,M,5,OM,0-3,44.54,69.86,52.3,7.76,2,
04-Nov-05,09-Nov-05,4B,39,M,5,OM,3-6,42.92,74.37,53.89,10.97,,
04-Nov-05,09-Nov-05,4C,32,M,5,OM,6-9,44.59,61.75,50.68,6.09,,
04-Nov-05,09-Nov-05,4D,3,M,5,OM,9-12,44.86,69.24,53.27,8.41,,
04-Nov-05,09-Nov-05,3A,19,M,5,Min,,46.08,118.82,89.17,43.09,,
04-Nov-05,09-Nov-05,3B,44A,M,10,mix,0-3,41.05,76.46,61.48,20.43,3,
04-Nov-05,09-Nov-05,3C,7,M,10,mix,3-6,45.1,69.5,56.61,11.51,,
04-Nov-05,09-Nov-05,3D,58,M,10,mix,6-9,44.89,75.47,62.45,17.56,,
04-Nov-05,09-Nov-05,2A,46,M,10,mix,9-12,46.57,74.9,61.27,14.7,,
04-Nov-05,09-Nov-05,2B,42,M,10,Min,,45.9,90.42,78.4,32.5,,
04-Nov-05,09-Nov-05,2C,1,M,15,mix,0-3,44.36,83.32,68.2,23.84,4,
04-Nov-05,09-Nov-05,2D,21,M,15,mix,3-6,43.39,82.19,66.18,22.79,,
04-Nov-05,09-Nov-05,1A,16,M,15,mix,6-9,45.12,70.32,60.05,14.93,,
04-Nov-05,09-Nov-05,1B,3,M,15,mix,9-12,44.52,69.86,60.6,16.08,,
04-Nov-05,09-Nov-05,1C,43,M,15,mix,,45.15,not used,,,,
04-Nov-05,09-Nov-05,1D,,M,15,Min,,43.98,96.49,82.64,38.66,,
09-Nov-05,14-Nov-05,18A,23B,R,0,OM,0-3,45.27,69.88,55.79,10.52,2,
09-Nov-05,14-Nov-05,18B,103,R,0,OM,3-6,42.49,71.63,59.87,17.38,,
09-Nov-05,14-Nov-05,18C,,R,0,OM,,,,,,,
09-Nov-05,14-Nov-05,18D,4,R,0,mix,6-9,46.47,79.7,64.3,17.83,,
09-Nov-05,14-Nov-05,17A,2,R,0,min,,46.56,101.49,90.19,43.63,,
09-Nov-05,14-Nov-05,17B,1,R,E,OM,0-3,46.12,62.25,48.78,2.66,1,
09-Nov-05,14-Nov-05,17C,4A,R,E,OM,3-6,44.07,65.6,50.39,6.32,,
09-Nov-05,14-Nov-05,17D,65,R,E,OM,6-9,46.36,67.12,50.72,4.36,,
09-Nov-05,14-Nov-05,16A,34,R,E,OM,9-12,45.86,85.94,61.66,15.8,,
09-Nov-05,14-Nov-05,16B,64,R,E,OM,12-15,43.02,81.37,60.56,17.54,,
09-Nov-05,14-Nov-05,16C,56,R,E,Min,,45.66,98.15,81.07,35.41,,
09-Nov-05,14-Nov-05,16D,66,R,10,OM,0-3,45.62,66.76,52.91,7.29,1,
09-Nov-05,14-Nov-05,15A,30,R,10,OM,3-6,45.28,60.33,49.68,4.4,,
09-Nov-05,14-Nov-05,15B,65,R,10,OM,6-9,43.04,69.95,49.51,6.47,,
09-Nov-05,14-Nov-05,15C,54,R,10,OM,9-12,43.62,64.65,49.91,6.29,,
09-Nov-05,14-Nov-05,15D,15,R,10,OM,12-15,45.16,82.48,56.97,11.81,,
09-Nov-05,14-Nov-05,14A,72,R,10,Min,,44.44,75.25,58.85,14.41,,
09-Nov-05,14-Nov-05,14B,24,R,20,mix,0-3,45.34,77.38,61.32,15.98,4,
09-Nov-05,14-Nov-05,14C,2B,R,20,mix,3-6,45.81,71.57,58.73,12.92,,
09-Nov-05,14-Nov-05,14D,7,R,20,Min,,43.56,82.51,70.81,27.25,,
09-Nov-05,14-Nov-05,13A,1,R,30,mix,0-3,44.67,73.94,54.56,9.89,3,
09-Nov-05,14-Nov-05,13B,62,R,30,mix,3-6,46.47,74.75,57.78,11.31,,
09-Nov-05,14-Nov-05,13C,68,R,30,mix,6-9,44.14,78.42,58.29,14.15,,
09-Nov-05,14-Nov-05,13D,53,R,30,mix,9-12,46.22,77.5,59.3,13.08,,
09-Nov-05,14-Nov-05,12A,35,R,30,mix,12-15,44.05,77.25,58.55,14.5,,
09-Nov-05,14-Nov-05,12B,28,R,30,mix,15-18,44.83,64.4,52.92,8.09,,
09-Nov-05,14-Nov-05,12C,56,R,30,mix,18-21,44.98,69.11,54.91,9.93,,
09-Nov-05,14-Nov-05,12D,60,R,30,Min,,44.11,77.57,68.48,24.37,,
09-Nov-05,14-Nov-05,11A,58,J,0,OM,0-3,44.12,66.04,52.97,8.85,1,
09-Nov-05,14-Nov-05,11B,62,J,0,OM,3-6,45.79,75.8,64.59,18.8,,
09-Nov-05,14-Nov-05,11C,40,J,0,Min,,45.01,76.29,66.03,21.02,,
09-Nov-05,14-Nov-05,11D,15,J,E,OM,0-3,44.53,60.79,49.44,4.91,,
09-Nov-05,14-Nov-05,10A,157,J,E,OM,3-6,46.24,64.68,52.71,6.47,,
